Animal,Slice,Sex,Subregion,z-plane,placement order,baseline uM,baseline DA/p,Baseline Vmax (nM/s),stimulation (mA),output (uM),cycle stage
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.14,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.16,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.18,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.20,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.22,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.24,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.26,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.30,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.35,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.40,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.45,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.50,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.60,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.70,NA,NA
RtM1,R1,Male,dlCPu,rostral,p1,NA,NA,NA,0.80,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.14,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.16,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.18,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.20,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.22,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.24,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.26,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.30,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.35,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.40,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.45,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.50,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.60,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.70,NA,NA
RtM1,R1,Male,vmCPu,rostral,p5,NA,NA,NA,0.80,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.14,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.16,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.18,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.20,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.22,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.24,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.26,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.30,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.35,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.40,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.45,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.50,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.60,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.70,NA,NA
RtM1,R1,Male,core,rostral,p3,NA,NA,NA,0.80,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.14,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.16,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.18,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.20,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.22,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.24,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.26,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.30,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.35,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.40,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.45,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.50,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.60,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.70,NA,NA
RtM1,R1,Male,lshell,rostral,p2,NA,NA,NA,0.80,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.14,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.16,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.18,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.20,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.22,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.24,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.26,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.30,NA,NA
